DOC,Counties,Lineage,Notes 
10/18/2023,Honolulu, GK.1,Omicron (XBB.1.5-like)
10/19/2023,Honolulu, JD.1.1,Omicron (XBB.1.5-like)
10/19/2023,Honolulu, EG.5.1.1,Omicron (XBB.1-like)
10/11/2023,Honolulu, DV.7.1.1,Omicron (BA.2-like)
10/11/2023,Honolulu, HV.1,Omicron (XBB.1-like)
10/11/2023,Honolulu, HV.1,Omicron (XBB.1-like)
10/12/2023,Honolulu, EG.5.1,Omicron (XBB.1-like)
10/12/2023,Honolulu, XBB.1.16.11,Omicron (XBB.1.16-like)
10/12/2023,Honolulu,JD.1.1,Omicron (XBB-like)
10/17/2023,Honolulu,XBB.1.16.11,Omicron (XBB.1.16-like)
10/17/2023,Honolulu,JF.1,Omicron (XBB.1.16-like)
10/25/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,GK.1.4,Omicron (XBB.1.5-like)
10/25/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/26/2023,Honolulu,FY.6,Omicron (XBB.1.5-like)
10/16/2023,Honolulu,HF.1.2,Omicron (XBB.1.16-like)
10/16/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/16/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/16/2023,Honolulu,XBB.1.5.103,Omicron (XBB.1.5-like)
10/16/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/16/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/16/2023,Honolulu,EG.5.1.6,Omicron (XBB.1-like)
10/16/2023,Honolulu,HF.1,Omicron (XBB.1.16-like)
10/16/2023,Honolulu,EG.5.1.1,Omicron (XBB.1-like)
10/17/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,JG.3,Omicron (XBB.1-like)
10/25/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,XBB.1.16.15,Omicron (XBB.1.16-like)
10/25/2023,Honolulu,JD.1.1,Omicron (XBB.1.5-like)
10/25/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,HK.3,Omicron (XBB.1-like)
10/25/2023,Honolulu,EG.5.1.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,JD.1.1,Omicron (XBB.1.5-like)
10/25/2023,Honolulu,GK.1,Omicron (XBB-like)
10/25/2023,Honolulu,XBB.1.41.2,Omicron (XBB.1-like)
10/26/2023,Honolulu,BA.2.86.1,Omicron (BA.2-like)
10/17/2023,Honolulu,EG.5.1,Omicron (XBB.1-like)
10/17/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/17/2023,Honolulu,GJ.1.2,Probable Omicron (Unassigned)
10/24/2023,Honolulu,XBB.1.16.6,Omicron (XBB.1.16-like)
10/25/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/25/2023,Honolulu,GS.4.1,Omicron (XBB-like)
10/25/2023,Honolulu,GS.4.1,Omicron (XBB-like)
10/26/2023,Honolulu,EG.5.1.3,Omicron (XBB.1-like)
10/26/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/7/2023,Kauai,FL.1.5.1,Omicron (Unassigned)
10/9/2023,Kauai,EG.5.1.1,Omicron (XBB.1-like)
10/3/2023,Kauai,XBB.1.5.72,Omicron (XBB.1.5-like)
10/18/2023,Kauai,EG.5.1.6,Omicron (XBB.1-like)
10/31/2023,Kauai, HK.3,Omicron (XBB.1-like)
10/9/2023,Kauai, FL.1.5.1,Omicron (XBB.1-like)
10/18/2023,Kauai, EG.5.1.1,Omicron (XBB.1-like)
10/20/2023,Kauai, HK.6,Omicron (XBB.1-like)
10/24/2023,Kauai, EG.5.1.3,Omicron (XBB.1-like)
10/9/2023,Maui,XBB.1.16.12,Omicron (XBB.1.16-like)
10/2/2023,Maui,XBB.1.5,Omicron (XBB.1.5-like)
10/2/2023,Maui,EG.5.1.4,Omicron (XBB.1-like)
10/2/2023,Maui,EG.5.1,Omicron (XBB.1-like)
10/24/2023,Maui,HV.1,Omicron (XBB.1-like)
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/11/2023,Maui, HV.1,Omicron (XBB.1-like)
10/18/2023,Maui,Unassigned,
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/11/2023,Maui, HK.3,Omicron (XBB.1-like)
10/23/2023,Maui, JD.1.1,Omicron (XBB.1.5-like)
10/10/2023,Maui, HK.3.2,Omicron (XBB.1-like)
10/10/2023,Maui, HK.11,Omicron (XBB.1-like)
10/26/2023,Maui,HV.1,Omicron (XBB.1-like)
10/16/2023,Maui,HK.3,Omicron (XBB.1-like)
10/17/2023,Maui,JD.1.1,Omicron (XBB.1.5-like)
10/25/2023,Maui,EG.5.1,Omicron (XBB.1-like)
10/25/2023,Maui,HV.1,Omicron (XBB.1-like)
10/26/2023,Maui,HV.1,Omicron (XBB.1-like)
10/17/2023,Maui,XBB.1.16.11,Omicron (XBB.1.16-like)
10/17/2023,Maui,GK.1.1,Omicron (XBB.1.5-like)
10/30/2023,Maui, HV.1,Omicron (XBB.1-like)
10/26/2023,Maui, FL.1.5.1,Omicron (XBB.1-like)
